PROBLEM_NAME: RAP-NC-L_0903.txt
PROBLEM_TYPE: UB
NB_RESOURCES: 10000
LINEAR_TERM: -629.182
BOUNDS SECTION: INDEX 	 UB 	 LINEAR_TERM
0 	 0.49305285 	 -0.12592303
1 	 0.68599725 	  0.23395672
2 	 1.3352233 	 -0.97472271
3 	 2.0276586 	 -0.89705539
4 	 2.9134933 	 -0.87955556
5 	 3.4316554 	 -0.86832678
6 	 3.9639271 	 -0.031413635
7 	 4.3563297 	 -0.032701381
8 	 4.8759308 	  0.59432073
9 	 5.2442487 	 -0.39095492
10 	 5.9734635 	  0.20112104
11 	 6.5115783 	 -0.61344059
12 	 7.0769394 	  0.079910139
13 	 7.4727908 	 -0.47722823
14 	 8.2311789 	  0.65834766
15 	 8.8560897 	  0.60183935
16 	 9.3147273 	  0.71031616
17 	 10.033632 	 -0.1802669
18 	 10.884858 	  0.31072806
19 	 11.453881 	 -0.21907555
20 	 11.989179 	 -0.55240519
21 	 12.389459 	  0.89916642
22 	 12.767579 	  0.7614143
23 	 13.221617 	  0.012024982
24 	 13.758413 	  0.19670436
25 	 14.264399 	 -0.70068935
26 	 14.575761 	  0.15087279
27 	 14.928331 	  0.93551114
28 	 15.190734 	  0.23762292
29 	 15.879046 	  0.6180184
30 	 16.566811 	  0.014055433
31 	 16.944161 	 -0.97494193
32 	 17.376073 	 -0.54219362
33 	 17.860473 	  0.15617403
34 	 18.1594 	 -0.28181839
35 	 18.818115 	  0.64558076
36 	 19.249736 	  0.23970959
37 	 19.742059 	 -0.70355058
38 	 20.322293 	 -0.7916795
39 	 20.765043 	 -0.11016405
40 	 21.10223 	  0.42684623
41 	 21.631528 	 -0.091499869
42 	 22.074407 	 -0.0013092134
43 	 22.650202 	  0.44039604
44 	 22.965375 	 -0.44827061
45 	 23.513891 	  0.036810504
46 	 24.205574 	  0.34308531
47 	 24.629411 	  0.46452281
48 	 25.042194 	  0.39527743
49 	 25.750371 	  0.23884563
50 	 26.045749 	  0.75648015
51 	 26.348266 	  0.32220237
52 	 26.77176 	 -0.38279139
53 	 27.333445 	 -0.43967385
54 	 27.920078 	  0.050413022
55 	 28.601266 	  0.68604821
56 	 29.095046 	 -0.25639038
57 	 29.284311 	  0.38973117
58 	 29.857881 	 -0.73219699
59 	 30.349502 	  0.052576762
60 	 30.834883 	  0.41724882
61 	 31.158032 	  0.25249897
62 	 31.53085 	 -0.34138471
63 	 31.919511 	 -0.22588149
64 	 32.562915 	 -0.76793228
65 	 32.985316 	 -0.18835372
66 	 33.579956 	 -0.82933387
67 	 33.853082 	 -0.56127892
68 	 34.349862 	 -0.17285884
69 	 35.00238 	  0.79471997
70 	 35.210376 	  0.45970285
71 	 35.696896 	 -0.36499169
72 	 36.207233 	  0.24405166
73 	 36.876627 	  0.14320781
74 	 37.367498 	 -0.74440207
75 	 37.994644 	 -0.46726764
76 	 38.437279 	 -0.83111575
77 	 38.8033 	  0.82588278
78 	 39.024591 	 -0.24743246
79 	 39.306179 	 -0.22964411
80 	 40.141728 	 -0.96117953
81 	 40.646216 	  0.95039187
82 	 41.224608 	  0.67520534
83 	 41.825626 	 -0.95218292
84 	 42.028182 	 -0.52489744
85 	 42.572605 	 -0.92574518
86 	 43.212647 	  0.4870288
87 	 43.687727 	 -0.30816503
88 	 44.265747 	  0.70829792
89 	 44.863664 	 -0.10920122
90 	 45.437268 	 -0.6236453
91 	 45.78106 	 -0.88072257
92 	 46.049492 	  0.63610513
93 	 46.599016 	 -0.31734716
94 	 47.142085 	 -0.14131935
95 	 47.866732 	 -0.9797455
96 	 48.422614 	  0.58860475
97 	 48.837302 	 -0.090159799
98 	 49.342718 	  0.25558728
99 	 49.710888 	 -0.87548239
100 	 49.982922 	 -0.81363943
101 	 50.599668 	 -0.86412484
102 	 51.085396 	 -0.68834477
103 	 51.611768 	 -0.28156852
104 	 51.847907 	 -0.95306179
105 	 52.603939 	  0.73629865
106 	 53.095614 	 -0.016133356
107 	 53.556995 	 -0.42985545
108 	 54.22237 	 -0.40561833
109 	 54.575286 	 -0.96457936
110 	 55.069181 	  0.81862449
111 	 55.590492 	  0.4528253
112 	 56.27178 	 -0.49155495
113 	 56.700053 	 -0.42262113
114 	 56.984106 	 -0.086247824
115 	 57.591651 	  0.87167878
116 	 58.268608 	  0.94487198
117 	 58.590055 	  0.12160952
118 	 58.864397 	 -0.21622197
119 	 59.718961 	 -0.46586586
120 	 60.193636 	 -0.35473033
121 	 60.551734 	 -0.73616918
122 	 61.082227 	 -0.16130235
123 	 61.830521 	 -0.29023683
124 	 62.314935 	  0.1037797
125 	 63.006994 	 -0.94329403
126 	 63.382482 	  0.11364687
127 	 63.790478 	 -0.2872653
128 	 63.983766 	 -0.24924951
129 	 64.335943 	  0.54796029
130 	 65.056964 	 -0.25305986
131 	 65.733518 	 -0.17132356
132 	 66.099771 	 -0.37194715
133 	 66.698288 	  0.95342412
134 	 67.310107 	  0.60661235
135 	 67.949116 	  0.013680979
136 	 68.210526 	 -0.13249078
137 	 68.732331 	  0.64052205
138 	 69.586051 	  0.66002885
139 	 69.992941 	 -0.70998194
140 	 70.339318 	  0.029795745
141 	 70.771226 	  0.89668618
142 	 70.98856 	 -0.37472838
143 	 71.234087 	 -0.015088986
144 	 71.708512 	  0.12737814
145 	 72.239731 	 -0.039113246
146 	 72.820655 	 -0.96261405
147 	 73.243191 	  0.72050948
148 	 73.741846 	 -0.89939838
149 	 74.385106 	  0.73049842
150 	 74.840402 	 -0.42080897
151 	 75.413641 	 -0.65708498
152 	 75.995376 	  0.27238093
153 	 76.41009 	 -0.088441399
154 	 77.001614 	  0.50095454
155 	 77.68356 	  0.25051292
156 	 78.027331 	 -0.030973175
157 	 78.642641 	  0.060711742
158 	 79.187825 	  0.50841314
159 	 79.846879 	  0.47738278
160 	 80.479656 	 -0.23455973
161 	 80.899217 	 -0.97923765
162 	 81.475745 	 -0.96475208
163 	 81.984661 	 -0.030875419
164 	 82.299726 	  0.4176737
165 	 82.802971 	 -0.913784
166 	 83.294893 	 -0.51063136
167 	 83.837757 	  0.38748709
168 	 84.504458 	  0.33253822
169 	 85.03146 	 -0.75444774
170 	 85.640388 	 -0.81009288
171 	 86.254919 	 -0.78233283
172 	 86.998415 	 -0.52570549
173 	 87.272916 	  0.52157267
174 	 87.617513 	 -0.47703209
175 	 87.974278 	  0.71291049
176 	 88.394262 	  0.78041768
177 	 88.762615 	  0.022226998
178 	 89.249988 	 -0.44781668
179 	 89.644688 	 -0.77254744
180 	 90.232564 	 -0.71854821
181 	 90.997379 	  0.41433848
182 	 91.734507 	 -0.4190672
183 	 92.151631 	 -0.10309061
184 	 92.388108 	 -0.57654952
185 	 92.90211 	  0.066699696
186 	 93.38445 	 -0.36574141
187 	 93.96237 	  0.71647181
188 	 94.54765 	 -0.14148267
189 	 94.98156 	 -0.65530874
190 	 95.379126 	 -0.068896334
191 	 95.780849 	  0.60575619
192 	 96.550962 	  0.99420259
193 	 96.988557 	 -0.86066833
194 	 97.42233 	 -0.5544536
195 	 98.097245 	  0.82288364
