PROBLEM_NAME: RAP-NC-L_1004.txt
PROBLEM_TYPE: UB
NB_RESOURCES: 20000
LINEAR_TERM: 9740.89
BOUNDS SECTION: INDEX 	 UB 	 LINEAR_TERM
0 	 0.71050964 	 -0.40166988
1 	 1.5186767 	  0.96225173
2 	 2.2051917 	  0.768814
3 	 2.7262645 	 -0.5779811
4 	 3.1904327 	 -0.041734641
5 	 3.7779705 	  0.38153389
6 	 4.3303607 	  0.55855336
7 	 4.8153517 	 -0.59940711
8 	 5.5821429 	  0.53281896
9 	 5.8984534 	  0.26266955
10 	 6.3410964 	 -0.90595744
11 	 7.0581394 	  0.69866148
12 	 7.4653639 	 -0.12265118
13 	 7.9174305 	  0.60996115
14 	 8.6252578 	 -0.42494817
15 	 8.8635437 	 -0.29569165
16 	 9.3551249 	 -0.72772905
17 	 9.7513584 	  0.97238452
18 	 9.929734 	 -0.16730767
19 	 10.433186 	  0.19677856
20 	 11.040364 	  0.030151159
21 	 11.559956 	  0.30286135
22 	 12.346367 	 -0.60399769
23 	 13.046363 	  0.17227674
24 	 13.681348 	 -0.58856615
25 	 14.069482 	 -0.80496021
26 	 14.558307 	  0.7118974
27 	 15.149021 	 -0.25556231
28 	 15.587647 	 -0.50923831
29 	 16.213817 	  0.014400557
30 	 16.861562 	 -0.22996895
31 	 17.292003 	 -0.66298652
32 	 17.824594 	 -0.61104837
33 	 18.413171 	  0.31609628
34 	 19.100297 	 -0.14634373
35 	 19.553302 	  0.7799832
36 	 20.010833 	  0.076800066
37 	 20.324653 	 -0.75199353
38 	 20.927157 	  0.37297294
39 	 21.513765 	 -0.34850803
40 	 22.154824 	  0.32249451
41 	 22.783529 	 -0.1104634
42 	 23.28713 	  0.46952428
43 	 23.601827 	 -0.15694439
44 	 24.130264 	 -0.84815021
45 	 24.755171 	  0.079918846
46 	 25.262486 	  0.35319516
47 	 25.737893 	  0.95072979
48 	 26.024235 	 -0.69148163
49 	 26.589612 	 -0.0034527871
50 	 27.196672 	  0.35325869
51 	 27.693977 	 -0.56904069
52 	 28.206295 	  0.72453277
53 	 28.636194 	  0.72758918
54 	 28.839352 	 -0.93199542
55 	 29.49387 	 -0.92464782
56 	 29.946826 	  0.36856511
57 	 30.429153 	  0.57830449
58 	 31.190986 	  0.38997538
59 	 31.649479 	  0.69263327
60 	 32.159376 	  0.35026853
61 	 32.660214 	  0.42463183
62 	 33.356905 	 -0.70251058
63 	 33.872123 	  0.082015636
64 	 34.298702 	  0.61533541
65 	 34.712439 	  0.21804447
66 	 35.38534 	  0.4106967
67 	 35.798682 	  0.75167317
68 	 35.988867 	  0.69522012
69 	 36.387566 	 -0.78469538
70 	 36.795389 	  0.29190023
71 	 37.287846 	  0.95582674
72 	 37.907969 	  0.41866345
73 	 38.488022 	 -0.87185672
74 	 38.884452 	  0.6324473
75 	 39.446258 	  0.51069654
76 	 40.001419 	 -0.577321
77 	 40.420862 	  0.87608209
78 	 41.143096 	 -0.11744129
79 	 41.555337 	 -0.69619883
80 	 42.084089 	  0.01676011
81 	 42.454028 	 -0.32216155
82 	 42.754152 	  0.72594094
83 	 43.130215 	 -0.11428837
84 	 43.83335 	  0.47069822
85 	 44.419613 	  0.38488566
86 	 44.992646 	  0.41230154
87 	 45.515495 	 -0.73927848
88 	 46.258372 	  0.090947113
89 	 46.80369 	  0.45119418
90 	 47.306122 	  0.53473519
91 	 48.006232 	 -0.72736966
92 	 48.517172 	  0.083036994
93 	 48.969901 	  0.6357461
94 	 49.586745 	 -0.17796971
95 	 50.126999 	  0.47760623
96 	 51.01391 	 -0.38741374
97 	 51.622269 	 -0.51102707
98 	 52.249427 	  0.74378783
99 	 53.003022 	 -0.97642109
100 	 53.249146 	  0.66745345
101 	 53.744926 	 -0.54658805
102 	 54.423106 	 -0.32830699
103 	 54.881331 	 -0.61836471
104 	 55.306759 	 -0.82090908
105 	 55.649292 	 -0.58963366
106 	 56.18845 	  0.15885555
107 	 56.544337 	  0.58234149
108 	 57.012031 	 -0.84959846
109 	 57.467578 	  0.05630787
110 	 57.833752 	  0.53781697
111 	 58.166072 	 -0.57376722
112 	 58.694489 	 -0.90069905
113 	 59.345972 	 -0.4494408
114 	 59.671655 	  0.92396762
115 	 60.414015 	 -0.6802013
116 	 60.775764 	  0.39612751
117 	 61.348589 	  0.0061382526
118 	 61.977949 	  0.068216607
119 	 62.514835 	 -0.53255908
120 	 62.907306 	  0.86760303
121 	 63.652802 	 -0.3475212
122 	 64.019899 	  0.011161298
123 	 64.490858 	  0.35200962
124 	 64.689742 	  0.41703163
125 	 65.262925 	 -0.72692128
126 	 65.655519 	 -0.59592268
127 	 65.95247 	 -0.59130499
128 	 66.34218 	 -0.71900877
129 	 66.884777 	 -0.72847428
130 	 67.363932 	  0.87814619
131 	 68.214576 	  0.42883731
132 	 68.426502 	 -0.4408719
133 	 68.671068 	 -0.5185657
134 	 69.339161 	 -0.7325168
135 	 69.76284 	 -0.70166797
136 	 70.255234 	  0.3319937
137 	 70.840993 	  0.48178835
138 	 70.990059 	  0.17408969
139 	 71.450186 	 -0.88739424
140 	 72.230847 	 -0.50713929
141 	 72.767113 	 -0.12523023
142 	 73.256808 	 -0.68074504
143 	 73.867801 	 -0.22743316
144 	 74.006903 	 -0.5353338
145 	 74.777373 	  0.068103795
